"","Area","Item","Element","Year","Value","Unit"
"130593","Africa","Maize (corn)","Emissions (N2O)","1964","1.1556","kilotonnes"
"130594","Africa","Maize (corn)","Emissions (N2O)","1965","1.1548","kilotonnes"
"130595","Africa","Maize (corn)","Emissions (N2O)","1966","1.1681","kilotonnes"
"130596","Africa","Maize (corn)","Emissions (N2O)","1967","1.2136","kilotonnes"
"130597","Africa","Maize (corn)","Emissions (N2O)","1968","1.2323","kilotonnes"
"130598","Africa","Maize (corn)","Emissions (N2O)","1969","1.2345","kilotonnes"
"130599","Africa","Maize (corn)","Emissions (N2O)","1970","1.2226","kilotonnes"
"130600","Africa","Maize (corn)","Emissions (N2O)","1971","1.2386","kilotonnes"
"130601","Africa","Maize (corn)","Emissions (N2O)","1972","1.2725","kilotonnes"
"130602","Africa","Maize (corn)","Emissions (N2O)","1973","1.2333","kilotonnes"
"130603","Africa","Maize (corn)","Emissions (N2O)","1974","1.3048","kilotonnes"
"130604","Africa","Maize (corn)","Emissions (N2O)","1975","1.3122","kilotonnes"
"130605","Africa","Maize (corn)","Emissions (N2O)","1976","1.3437","kilotonnes"
"130606","Africa","Maize (corn)","Emissions (N2O)","1977","1.2724","kilotonnes"
"130607","Africa","Maize (corn)","Emissions (N2O)","1978","1.2704","kilotonnes"
"130608","Africa","Maize (corn)","Emissions (N2O)","1979","1.2462","kilotonnes"
"130609","Africa","Maize (corn)","Emissions (N2O)","1980","1.264","kilotonnes"
"130610","Africa","Maize (corn)","Emissions (N2O)","1981","1.2564","kilotonnes"
"130611","Africa","Maize (corn)","Emissions (N2O)","1982","1.2908","kilotonnes"
"130612","Africa","Maize (corn)","Emissions (N2O)","1983","1.3607","kilotonnes"
"130613","Africa","Maize (corn)","Emissions (N2O)","1984","1.3723","kilotonnes"
"130614","Africa","Maize (corn)","Emissions (N2O)","1985","1.4304","kilotonnes"
"130615","Africa","Maize (corn)","Emissions (N2O)","1986","1.5857","kilotonnes"
"130616","Africa","Maize (corn)","Emissions (N2O)","1987","1.6487","kilotonnes"
"130617","Africa","Maize (corn)","Emissions (N2O)","1988","1.6927","kilotonnes"
"130618","Africa","Maize (corn)","Emissions (N2O)","1989","1.7197","kilotonnes"
"130619","Africa","Maize (corn)","Emissions (N2O)","1990","1.7453","kilotonnes"
"130620","Africa","Maize (corn)","Emissions (N2O)","1991","1.7287","kilotonnes"
"130621","Africa","Maize (corn)","Emissions (N2O)","1992","1.7583","kilotonnes"
"130622","Africa","Maize (corn)","Emissions (N2O)","1993","1.8157","kilotonnes"
"130623","Africa","Maize (corn)","Emissions (N2O)","1994","1.8917","kilotonnes"
"130624","Africa","Maize (corn)","Emissions (N2O)","1995","1.7582","kilotonnes"
"130625","Africa","Maize (corn)","Emissions (N2O)","1996","1.7644","kilotonnes"
"130626","Africa","Maize (corn)","Emissions (N2O)","1997","1.7928","kilotonnes"
"130627","Africa","Maize (corn)","Emissions (N2O)","1998","1.7553","kilotonnes"
"130628","Africa","Maize (corn)","Emissions (N2O)","1999","1.7035","kilotonnes"
"130629","Africa","Maize (corn)","Emissions (N2O)","2000","1.6974","kilotonnes"
"130630","Africa","Maize (corn)","Emissions (N2O)","2001","1.6781","kilotonnes"
"130631","Africa","Maize (corn)","Emissions (N2O)","2002","1.7952","kilotonnes"
"130632","Africa","Maize (corn)","Emissions (N2O)","2003","1.9791","kilotonnes"
"130633","Africa","Maize (corn)","Emissions (N2O)","2004","1.9447","kilotonnes"
"130634","Africa","Maize (corn)","Emissions (N2O)","2005","2.0716","kilotonnes"
"130635","Africa","Maize (corn)","Emissions (N2O)","2006","1.983","kilotonnes"
"130636","Africa","Maize (corn)","Emissions (N2O)","2007","1.9937","kilotonnes"
"130637","Africa","Maize (corn)","Emissions (N2O)","2008","2.2011","kilotonnes"
"130638","Africa","Maize (corn)","Emissions (N2O)","2009","2.121","kilotonnes"
"130639","Africa","Maize (corn)","Emissions (N2O)","2010","2.3269","kilotonnes"
"130640","Africa","Maize (corn)","Emissions (N2O)","2011","2.4734","kilotonnes"
"130641","Africa","Maize (corn)","Emissions (N2O)","2012","2.5468","kilotonnes"
"130642","Africa","Maize (corn)","Emissions (N2O)","2013","2.6385","kilotonnes"
"130643","Africa","Maize (corn)","Emissions (N2O)","2014","2.6922","kilotonnes"
"130644","Africa","Maize (corn)","Emissions (N2O)","2015","2.6956","kilotonnes"
"130645","Africa","Maize (corn)","Emissions (N2O)","2016","2.7947","kilotonnes"
"130646","Africa","Maize (corn)","Emissions (N2O)","2017","2.8865","kilotonnes"
"130647","Africa","Maize (corn)","Emissions (N2O)","2018","2.8107","kilotonnes"
"130648","Africa","Maize (corn)","Emissions (N2O)","2019","2.9117","kilotonnes"
"130649","Africa","Maize (corn)","Emissions (N2O)","2020","3.015","kilotonnes"
"130650","Africa","Maize (corn)","Emissions (N2O)","2030","2.5311","kilotonnes"
"130651","Africa","Maize (corn)","Emissions (N2O)","2050","2.8769","kilotonnes"
"130652","Africa","Maize (corn)","Emissions (CH4)","1961","41.745","kilotonnes"
"130653","Africa","Maize (corn)","Emissions (CH4)","1962","42.6983","kilotonnes"
"130654","Africa","Maize (corn)","Emissions (CH4)","1963","42.9554","kilotonnes"
"130655","Africa","Maize (corn)","Emissions (CH4)","1964","44.5721","kilotonnes"
"130656","Africa","Maize (corn)","Emissions (CH4)","1965","44.5438","kilotonnes"
"130657","Africa","Maize (corn)","Emissions (CH4)","1966","45.0542","kilotonnes"
"130658","Africa","Maize (corn)","Emissions (CH4)","1967","46.8114","kilotonnes"
"130659","Africa","Maize (corn)","Emissions (CH4)","1968","47.531","kilotonnes"
"130660","Africa","Maize (corn)","Emissions (CH4)","1969","47.6156","kilotonnes"
"130661","Africa","Maize (corn)","Emissions (CH4)","1970","47.1578","kilotonnes"
"130662","Africa","Maize (corn)","Emissions (CH4)","1971","47.7734","kilotonnes"
"130663","Africa","Maize (corn)","Emissions (CH4)","1972","49.0827","kilotonnes"
"130664","Africa","Maize (corn)","Emissions (CH4)","1973","47.5703","kilotonnes"
"130665","Africa","Maize (corn)","Emissions (CH4)","1974","50.3293","kilotonnes"
"130666","Africa","Maize (corn)","Emissions (CH4)","1975","50.6125","kilotonnes"
"130667","Africa","Maize (corn)","Emissions (CH4)","1976","51.8303","kilotonnes"
"130668","Africa","Maize (corn)","Emissions (CH4)","1977","49.0777","kilotonnes"
"130669","Africa","Maize (corn)","Emissions (CH4)","1978","49.0013","kilotonnes"
"130670","Africa","Maize (corn)","Emissions (CH4)","1979","48.0674","kilotonnes"
"130671","Africa","Maize (corn)","Emissions (CH4)","1980","48.7539","kilotonnes"
"130672","Africa","Maize (corn)","Emissions (CH4)","1981","48.462","kilotonnes"
"130673","Africa","Maize (corn)","Emissions (CH4)","1982","49.7887","kilotonnes"
"130674","Africa","Maize (corn)","Emissions (CH4)","1983","52.4852","kilotonnes"
"130675","Africa","Maize (corn)","Emissions (CH4)","1984","52.9329","kilotonnes"
"130676","Africa","Maize (corn)","Emissions (CH4)","1985","55.1711","kilotonnes"
"130677","Africa","Maize (corn)","Emissions (CH4)","1986","61.1623","kilotonnes"
"130678","Africa","Maize (corn)","Emissions (CH4)","1987","63.592","kilotonnes"
"130679","Africa","Maize (corn)","Emissions (CH4)","1988","65.2894","kilotonnes"
"130680","Africa","Maize (corn)","Emissions (CH4)","1989","66.3307","kilotonnes"
